id,first_name,last_name,email,gender,Hobbies & Interests,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,Economics Score,geography_score,Computer Science Score,analytical thinking score,logical reasoning score,Psychology Score,preferred learning method,Recommended Stream
336,Kenneth,Moody,kenneth.moody.336@gslingacademy.com,male,Reading Books,FALSE,7,FALSE,6,Government Officer,65,95,78,65,74,69,93,63,99,82,13,92,Reading/Writing,Arts
337,Scott,Hughes,scott.hughes.337@gslingacademy.com,male,Writing & Blogging,FALSE,2,FALSE,7,Government Officer,83,81,88,82,97,83,15,74,26,96,93,71,Visual,Medical
338,Cody,Jimenez,cody.jimenez.338@gslingacademy.com,male,Volunteering & Social Work,FALSE,1,FALSE,32,Lawyer,100,89,95,63,67,92,14,75,91,52,85,41,Kinesthetic,Technology
339,Allen,Farmer,allen.farmer.339@gslingacademy.com,male,Reading Books,FALSE,5,TRUE,30,Software Engineer,85,70,78,66,69,62,100,100,95,69,37,29,Kinesthetic,Technology
340,James,Young,james.young.340@gslingacademy.com,male,Volunteering & Social Work,FALSE,9,FALSE,4,Business Owner,45,98,95,66,84,83,65,100,43,96,70,95,Reading/Writing,Arts
341,Laura,Dawson,laura.dawson.341@gslingacademy.com,female,Coding & Programming,FALSE,5,FALSE,15,Government Officer,73,75,94,82,71,90,87,75,27,46,15,98,Visual,Medical
342,Donald,Carson,donald.carson.342@gslingacademy.com,male,Volunteering & Social Work,FALSE,2,FALSE,2,Game Developer,95,83,96,97,72,77,25,61,65,78,60,77,Auditory,Technology
343,Wayne,Lane,wayne.lane.343@gslingacademy.com,male,Photography,FALSE,8,TRUE,32,Lawyer,96,95,61,72,71,83,26,96,24,65,12,37,Kinesthetic,Arts
344,Robert,Johnson,robert.johnson.344@gslingacademy.com,male,Public Speaking & Debating,FALSE,2,FALSE,24,Construction Engineer,94,72,96,93,93,79,71,64,37,73,41,65,Reading/Writing,Medical
345,Melissa,Le,melissa.le.345@gslingacademy.com,female,Painting & Drawing,FALSE,1,FALSE,18,Teacher,92,69,69,60,90,88,23,95,71,12,95,95,Kinesthetic,Arts
346,David,Rice,david.rice.346@gslingacademy.com,male,Public Speaking & Debating,TRUE,10,FALSE,5,Business Owner,56,52,76,95,54,59,23,85,16,67,47,67,Kinesthetic,Medical
347,Dawn,Gomez,dawn.gomez.347@gslingacademy.com,female,Volunteering & Social Work,TRUE,3,FALSE,24,Banker,85,74,65,76,100,95,15,68,38,26,34,52,Visual,Medical
348,Ricky,Nichols,ricky.nichols.348@gslingacademy.com,male,Coding & Programming,FALSE,1,FALSE,16,Designer,65,90,68,99,74,82,87,86,26,60,18,87,Auditory,Arts
349,Henry,Pitts,henry.pitts.349@gslingacademy.com,male,Sports,FALSE,1,FALSE,15,Writer,64,81,95,87,86,91,49,80,23,84,32,45,Auditory,Medical
350,Christopher,Price,christopher.price.350@gslingacademy.com,male,Acting & Theatre,FALSE,3,FALSE,26,Software Engineer,100,88,94,67,62,66,79,96,32,47,39,16,Visual,Arts
351,Aimee,Adams,aimee.adams.351@gslingacademy.com,female,Entrepreneurship & Startups,FALSE,3,FALSE,15,Teacher,76,64,64,60,75,92,70,61,66,53,33,46,Visual,Medical
352,Tammy,Barry,tammy.barry.352@gslingacademy.com,female,Photography,FALSE,1,FALSE,5,Game Developer,97,76,91,76,89,60,98,85,28,16,22,93,Kinesthetic,Medical
353,Ryan,Hull,ryan.hull.353@gslingacademy.com,male,Dance,FALSE,1,TRUE,14,Unknown,95,98,98,83,77,93,28,83,76,97,17,48,Kinesthetic,Arts
354,Samuel,Jackson,samuel.jackson.354@gslingacademy.com,male,Coding & Programming,FALSE,4,FALSE,1,Game Developer,85,64,90,94,68,97,26,61,68,70,34,54,Auditory,Technology
355,Joshua,Smith,joshua.smith.355@gslingacademy.com,male,Reading Books,FALSE,5,FALSE,10,Construction Engineer,86,91,96,60,91,73,38,88,49,96,35,49,Kinesthetic,Arts
356,Sydney,Stevenson,sydney.stevenson.356@gslingacademy.com,female,Gaming,FALSE,6,FALSE,5,Business Owner,100,58,58,100,60,52,82,82,84,16,57,30,Auditory,Technology
357,Christopher,Rios,christopher.rios.357@gslingacademy.com,male,Painting & Drawing,FALSE,2,FALSE,26,Unknown,65,77,66,100,88,77,86,62,64,71,53,85,Visual,Medical
358,Brenda,Collins,brenda.collins.358@gslingacademy.com,female,Cooking & Baking,FALSE,2,TRUE,26,Lawyer,71,81,99,74,74,82,21,67,75,14,79,43,Kinesthetic,Technology
359,Diana,Griffin,diana.griffin.359@gslingacademy.com,female,Writing & Blogging,FALSE,2,FALSE,14,Government Officer,80,94,97,83,84,77,86,79,73,37,49,81,Visual,Arts
360,Gary,Gray,gary.gray.360@gslingacademy.com,male,Cooking & Baking,FALSE,7,TRUE,21,Construction Engineer,91,76,96,77,99,64,86,83,64,46,40,40,Kinesthetic,Medical
361,Kimberly,Torres,kimberly.torres.361@gslingacademy.com,female,Public Speaking & Debating,FALSE,2,FALSE,32,Software Engineer,91,87,88,82,95,70,77,87,85,39,14,30,Visual,Technology
362,Jeffrey,Booker,jeffrey.booker.362@gslingacademy.com,male,Photography,FALSE,0,FALSE,30,Software Engineer,100,86,81,100,66,98,95,97,27,83,74,91,Reading/Writing,Arts
363,Nicole,Buchanan,nicole.buchanan.363@gslingacademy.com,female,Sports,FALSE,3,FALSE,13,Teacher,92,79,71,65,99,91,85,98,47,91,39,69,Kinesthetic,Arts
364,Kristin,Johnson,kristin.johnson.364@gslingacademy.com,female,Acting & Theatre,FALSE,7,FALSE,33,Banker,89,76,95,83,84,96,30,61,59,73,45,65,Kinesthetic,Medical
365,Emily,Bell,emily.bell.365@gslingacademy.com,female,Music,FALSE,3,FALSE,15,Accountant,93,92,92,76,49,93,26,75,21,40,56,49,Kinesthetic,Arts
366,Francis,Nelson,francis.nelson.366@gslingacademy.com,male,Gaming,FALSE,10,FALSE,33,Unknown,81,64,67,74,65,94,36,96,71,37,76,13,Reading/Writing,Technology
367,Tracy,Harris,tracy.harris.367@gslingacademy.com,male,Cooking & Baking,FALSE,2,FALSE,11,Designer,70,73,70,67,96,86,41,89,86,75,74,63,Kinesthetic,Medical
368,Sheila,Sosa,sheila.sosa.368@gslingacademy.com,female,Reading Books,FALSE,2,FALSE,30,Unknown,61,70,89,97,60,79,92,79,70,73,29,99,Auditory,Medical
369,Ashley,Mendez,ashley.mendez.369@gslingacademy.com,female,Reading Books,FALSE,7,FALSE,2,Business Owner,62,53,78,77,59,95,81,80,64,86,72,62,Auditory,Medical
370,Matthew,Griffin,matthew.griffin.370@gslingacademy.com,male,Music,FALSE,3,FALSE,4,Stock Investor,83,61,79,99,66,60,79,76,48,56,99,43,Kinesthetic,Medical
371,Timothy,Mann,timothy.mann.371@gslingacademy.com,male,Cooking & Baking,FALSE,3,FALSE,32,Software Engineer,85,96,87,63,69,69,51,81,12,57,80,89,Reading/Writing,Arts
372,Christine,Foster,christine.foster.372@gslingacademy.com,female,Painting & Drawing,TRUE,7,FALSE,0,Business Owner,83,55,87,74,73,77,70,61,35,30,74,40,Visual,Medical
373,Julie,Yates,julie.yates.373@gslingacademy.com,female,Entrepreneurship & Startups,FALSE,2,FALSE,4,Business Owner,73,95,54,94,99,58,19,94,21,53,74,96,Reading/Writing,Arts
374,William,Ballard,william.ballard.374@gslingacademy.com,male,Gaming,TRUE,10,TRUE,0,Business Owner,61,65,73,78,77,97,46,96,50,66,61,72,Visual,Arts
375,Kristen,Adams,kristen.adams.375@gslingacademy.com,female,Photography,FALSE,5,TRUE,21,Unknown,77,72,81,63,69,73,96,80,80,64,36,89,Visual,Technology
376,Chelsea,Mitchell,chelsea.mitchell.376@gslingacademy.com,female,Acting & Theatre,FALSE,2,FALSE,29,Writer,77,87,65,91,71,90,73,90,81,98,34,100,Visual,Arts
377,Patrick,Everett,patrick.everett.377@gslingacademy.com,male,Traveling,FALSE,3,FALSE,32,Unknown,99,94,94,62,68,79,67,68,51,30,23,87,Auditory,Technology
378,Carla,Parker,carla.parker.378@gslingacademy.com,female,Dance,FALSE,7,FALSE,14,Unknown,73,69,94,78,76,63,93,71,21,96,98,77,Auditory,Arts
379,Casey,Galvan,casey.galvan.379@gslingacademy.com,male,Coding & Programming,FALSE,1,FALSE,25,Lawyer,95,89,96,89,60,99,37,93,59,67,73,45,Kinesthetic,Arts
380,Eric,Moran,eric.moran.380@gslingacademy.com,male,Reading Books,FALSE,7,TRUE,4,Unknown,94,79,92,100,93,63,57,98,71,15,63,55,Reading/Writing,Medical
381,Tabitha,Hudson,tabitha.hudson.381@gslingacademy.com,female,Acting & Theatre,FALSE,2,TRUE,32,Stock Investor,75,83,85,65,76,94,48,60,45,99,91,73,Reading/Writing,Arts
382,Lance,Salazar,lance.salazar.382@gslingacademy.com,male,Painting & Drawing,FALSE,2,FALSE,7,Unknown,66,83,77,91,84,74,87,62,35,78,32,81,Auditory,Medical
383,Melissa,Williamson,melissa.williamson.383@gslingacademy.com,female,Entrepreneurship & Startups,TRUE,1,FALSE,22,Software Engineer,91,79,89,74,79,74,30,61,95,88,90,10,Auditory,Technology
384,James,Castro,james.castro.384@gslingacademy.com,male,Coding & Programming,FALSE,5,FALSE,3,Unknown,81,61,75,65,90,92,86,80,72,33,82,69,Reading/Writing,Medical
385,Joseph,Johnson,joseph.johnson.385@gslingacademy.com,male,Acting & Theatre,TRUE,8,FALSE,1,Business Owner,71,69,69,67,70,78,76,66,40,58,43,27,Visual,Arts
386,Gene,Woodward,gene.woodward.386@gslingacademy.com,male,Traveling,FALSE,4,TRUE,23,Writer,77,94,97,77,63,98,36,98,38,92,87,92,Auditory,Arts
387,Patricia,Watson,patricia.watson.387@gslingacademy.com,female,Coding & Programming,FALSE,0,FALSE,42,Doctor,91,87,93,85,98,85,33,95,76,83,19,100,Auditory,Medical
388,John,Carey,john.carey.388@gslingacademy.com,male,Reading Books,FALSE,1,FALSE,30,Scientist,83,98,100,93,100,77,83,76,15,12,54,83,Reading/Writing,Medical
389,Sara,Cochran,sara.cochran.389@gslingacademy.com,female,Sports,FALSE,1,FALSE,1,Business Owner,75,51,70,84,66,64,78,88,22,74,34,56,Reading/Writing,Medical
390,Jamie,Suarez,jamie.suarez.390@gslingacademy.com,female,Painting & Drawing,TRUE,3,TRUE,17,Software Engineer,86,96,68,71,86,94,21,89,67,85,66,83,Kinesthetic,Arts
391,Steven,Frazier,steven.frazier.391@gslingacademy.com,male,Reading Books,FALSE,2,FALSE,48,Doctor,86,88,89,89,98,89,60,96,94,13,66,35,Auditory,Medical
392,Nicholas,Hart,nicholas.hart.392@gslingacademy.com,male,Reading Books,FALSE,4,TRUE,24,Software Engineer,85,67,60,82,77,72,98,72,10,61,47,51,Visual,Medical
393,Cheryl,Arias,cheryl.arias.393@gslingacademy.com,female,Painting & Drawing,FALSE,6,FALSE,31,Writer,62,81,80,88,78,94,37,85,66,45,58,26,Auditory,Medical
394,Marc,Brock,marc.brock.394@gslingacademy.com,male,Entrepreneurship & Startups,TRUE,7,FALSE,0,Business Owner,100,65,67,61,76,58,50,84,92,48,67,95,Reading/Writing,Technology
395,Timothy,Perez,timothy.perez.395@gslingacademy.com,male,Coding & Programming,FALSE,9,FALSE,2,Business Owner,79,86,97,60,66,74,55,96,65,23,18,31,Visual,Arts
396,Courtney,Rodriguez,courtney.rodriguez.396@gslingacademy.com,female,Reading Books,FALSE,1,FALSE,24,Lawyer,99,97,68,85,86,85,90,73,17,67,58,78,Auditory,Arts
397,Samantha,Clark,samantha.clark.397@gslingacademy.com,female,Entrepreneurship & Startups,FALSE,7,FALSE,2,Business Owner,46,65,97,100,56,73,44,95,21,24,17,55,Auditory,Medical
398,Francisco,Reilly,francisco.reilly.398@gslingacademy.com,male,Gaming,FALSE,0,FALSE,32,Software Engineer,85,97,88,61,80,80,23,84,76,90,28,77,Kinesthetic,Technology
399,Denise,Young,denise.young.399@gslingacademy.com,female,Photography,FALSE,2,FALSE,4,Government Officer,85,68,89,64,79,66,67,66,93,39,31,40,Visual,Technology
400,Darrell,Williams,darrell.williams.400@gslingacademy.com,male,Acting & Theatre,FALSE,4,FALSE,32,Software Engineer,85,87,91,63,95,88,21,62,29,60,57,66,Auditory,Arts
401,Andrew,Smith,andrew.smith.401@gslingacademy.com,male,Reading Books,FALSE,3,FALSE,16,Stock Investor,99,86,90,100,96,77,83,60,100,41,44,93,Auditory,Technology
402,Teresa,Stafford,teresa.stafford.402@gslingacademy.com,female,Gaming,FALSE,1,FALSE,20,Banker,84,92,63,91,89,92,56,76,89,93,25,80,Visual,Technology
403,Cory,Harris,cory.harris.403@gslingacademy.com,male,Sports,FALSE,4,FALSE,28,Construction Engineer,85,72,87,72,68,85,90,78,87,17,89,54,Auditory,Technology
404,Douglas,Irwin,douglas.irwin.404@gslingacademy.com,male,Reading Books,FALSE,7,FALSE,30,Software Engineer,100,79,92,92,67,68,52,72,89,46,86,72,Reading/Writing,Technology
405,Deborah,Miller,deborah.miller.405@gslingacademy.com,female,Writing & Blogging,FALSE,3,FALSE,17,Banker,86,61,68,91,60,86,72,62,97,98,62,73,Visual,Technology
406,Autumn,Hernandez,autumn.hernandez.406@gslingacademy.com,female,Reading Books,FALSE,5,FALSE,25,Unknown,79,70,71,95,79,77,59,68,67,76,84,73,Auditory,Medical
407,Paul,Serrano,paul.serrano.407@gslingacademy.com,male,Cooking & Baking,FALSE,5,FALSE,18,Accountant,76,82,76,71,70,89,59,76,49,48,92,67,Visual,Arts
408,Matthew,Griffin,matthew.griffin.408@gslingacademy.com,male,Public Speaking & Debating,TRUE,1,FALSE,23,Software Engineer,96,63,69,67,69,92,38,77,48,85,51,65,Visual,Technology
409,Evan,Holmes,evan.holmes.409@gslingacademy.com,male,Cooking & Baking,FALSE,4,TRUE,23,Software Engineer,100,77,75,74,80,94,80,74,49,11,66,41,Visual,Technology
410,Cynthia,Baker,cynthia.baker.410@gslingacademy.com,female,Volunteering & Social Work,FALSE,6,FALSE,21,Software Engineer,88,84,87,97,94,87,35,85,10,43,64,38,Reading/Writing,Medical
411,Sandra,Melendez,sandra.melendez.411@gslingacademy.com,female,Painting & Drawing,FALSE,3,FALSE,27,Software Engineer,96,76,98,89,93,85,43,75,76,48,46,98,Reading/Writing,Medical
412,Claudia,Munoz,claudia.munoz.412@gslingacademy.com,female,Traveling,FALSE,5,FALSE,14,Software Engineer,92,66,96,71,87,89,60,61,82,49,69,94,Kinesthetic,Technology
413,Christopher,Nguyen,christopher.nguyen.413@gslingacademy.com,male,Acting & Theatre,FALSE,2,TRUE,37,Doctor,87,93,99,100,97,92,92,90,95,89,17,96,Kinesthetic,Arts
414,David,Jennings,david.jennings.414@gslingacademy.com,male,Dance,FALSE,3,FALSE,29,Accountant,95,82,74,87,36,61,10,88,80,99,63,21,Reading/Writing,Technology
415,Joel,Morris,joel.morris.415@gslingacademy.com,male,Dance,TRUE,6,FALSE,4,Business Owner,44,76,56,71,66,54,75,91,37,97,45,88,Auditory,Arts
416,Rhonda,Bradley,rhonda.bradley.416@gslingacademy.com,female,Gaming,FALSE,3,FALSE,16,Banker,78,89,68,63,81,92,31,97,51,19,37,28,Kinesthetic,Arts
417,Melissa,Brown,melissa.brown.417@gslingacademy.com,female,Photography,FALSE,4,FALSE,30,Accountant,95,78,93,85,48,68,52,75,43,51,88,93,Kinesthetic,Technology
418,Matthew,Kramer,matthew.kramer.418@gslingacademy.com,male,Sports,TRUE,7,FALSE,1,Business Owner,57,56,53,75,98,92,62,73,34,11,52,21,Reading/Writing,Medical
419,Austin,Bass,austin.bass.419@gslingacademy.com,male,Coding & Programming,FALSE,3,TRUE,24,Software Engineer,86,99,95,94,92,90,55,77,32,75,30,33,Visual,Medical
420,Jennifer,West,jennifer.west.420@gslingacademy.com,female,Photography,FALSE,2,FALSE,35,Writer,92,97,100,91,95,90,76,95,71,67,39,24,Auditory,Medical
421,Patricia,Mccormick,patricia.mccormick.421@gslingacademy.com,female,Gaming,FALSE,1,FALSE,14,Teacher,69,69,84,100,69,77,52,87,20,61,52,43,Visual,Medical
422,Sandra,Jacobs,sandra.jacobs.422@gslingacademy.com,female,Photography,FALSE,1,FALSE,3,Designer,91,62,75,60,82,91,84,96,57,41,65,71,Reading/Writing,Arts
423,Jasmine,Clark,jasmine.clark.423@gslingacademy.com,female,Music,FALSE,4,FALSE,15,Accountant,79,79,97,78,31,99,96,84,26,69,94,99,Kinesthetic,Arts
424,Jeffrey,Young,jeffrey.young.424@gslingacademy.com,male,Music,FALSE,5,FALSE,23,Software Engineer,93,96,80,64,91,68,12,71,50,57,96,49,Visual,Arts
425,Jason,Hernandez,jason.hernandez.425@gslingacademy.com,male,Gaming,FALSE,6,FALSE,19,Unknown,90,79,90,73,76,68,33,95,83,77,34,16,Auditory,Technology
426,Christopher,Hamilton,christopher.hamilton.426@gslingacademy.com,male,Public Speaking & Debating,FALSE,3,FALSE,33,Doctor,99,68,100,95,95,88,35,83,28,43,78,93,Reading/Writing,Medical
427,Monique,Peterson,monique.peterson.427@gslingacademy.com,female,Acting & Theatre,FALSE,0,FALSE,14,Banker,90,69,81,92,65,89,13,69,82,98,33,100,Auditory,Arts
428,Jill,Sexton,jill.sexton.428@gslingacademy.com,female,Cooking & Baking,FALSE,1,TRUE,0,Artist,71,84,66,75,93,84,10,69,81,71,31,19,Reading/Writing,Medical
429,Jennifer,Kemp,jennifer.kemp.429@gslingacademy.com,female,Acting & Theatre,FALSE,1,FALSE,34,Lawyer,98,93,67,74,81,87,56,76,43,99,62,25,Reading/Writing,Arts
430,David,Harris,david.harris.430@gslingacademy.com,male,Traveling,FALSE,5,FALSE,33,Scientist,94,99,83,94,93,95,85,93,66,95,40,43,Visual,Medical
431,Cheryl,Snyder,cheryl.snyder.431@gslingacademy.com,female,Reading Books,FALSE,7,FALSE,7,Stock Investor,92,89,79,76,86,61,96,81,96,97,75,89,Auditory,Technology
432,Nathan,Armstrong,nathan.armstrong.432@gslingacademy.com,male,Sports,FALSE,2,FALSE,18,Software Engineer,100,96,74,61,87,94,53,60,28,64,62,16,Visual,Medical
433,Patrick,Ryan,patrick.ryan.433@gslingacademy.com,male,Painting & Drawing,FALSE,9,FALSE,4,Business Owner,48,55,86,51,54,94,26,61,37,92,37,18,Kinesthetic,Medical
434,Christian,Wilkins,christian.wilkins.434@gslingacademy.com,male,Dance,FALSE,6,FALSE,10,Real Estate Developer,63,87,71,68,66,67,28,99,57,54,78,58,Auditory,Arts
435,Clinton,Martin,clinton.martin.435@gslingacademy.com,male,Dance,TRUE,2,FALSE,22,Software Engineer,89,83,89,91,94,93,53,69,72,47,34,12,Kinesthetic,Medical
436,Adriana,Sandoval,adriana.sandoval.436@gslingacademy.com,female,Public Speaking & Debating,FALSE,5,FALSE,28,Stock Investor,88,90,93,81,88,90,98,74,58,69,28,29,Reading/Writing,Medical
437,Jeremy,Harvey,jeremy.harvey.437@gslingacademy.com,male,Reading Books,FALSE,2,FALSE,2,Real Estate Developer,98,87,67,97,62,60,77,79,56,24,11,73,Reading/Writing,Technology
438,Caitlin,Murillo,caitlin.murillo.438@gslingacademy.com,female,Volunteering & Social Work,FALSE,1,FALSE,0,Business Owner,92,86,88,75,60,50,76,79,72,12,93,86,Visual,Technology
439,Andrew,Green,andrew.green.439@gslingacademy.com,male,Writing & Blogging,FALSE,3,FALSE,24,Doctor,80,60,100,99,98,75,100,94,48,47,37,67,Kinesthetic,Medical
440,Rodney,Bennett,rodney.bennett.440@gslingacademy.com,male,Cooking & Baking,FALSE,2,FALSE,15,Construction Engineer,92,63,91,65,69,94,22,98,36,37,89,84,Kinesthetic,Arts
441,Megan,Moyer,megan.moyer.441@gslingacademy.com,female,Gaming,TRUE,2,FALSE,1,Artist,82,95,68,64,97,99,100,60,50,28,73,37,Reading/Writing,Medical
442,Mathew,Burns,mathew.burns.442@gslingacademy.com,male,Writing & Blogging,FALSE,1,FALSE,8,Stock Investor,84,74,74,75,99,99,27,85,19,37,53,72,Auditory,Arts
443,Tammie,Stanley,tammie.stanley.443@gslingacademy.com,female,Reading Books,FALSE,7,FALSE,9,Teacher,61,70,65,67,93,81,51,63,38,83,22,100,Auditory,Medical
444,James,Glover,james.glover.444@gslingacademy.com,male,Painting & Drawing,FALSE,4,FALSE,33,Software Engineer,99,87,98,76,65,94,45,67,50,69,82,33,Kinesthetic,Technology
445,Michelle,Reeves,michelle.reeves.445@gslingacademy.com,female,Cooking & Baking,FALSE,3,FALSE,32,Accountant,83,69,90,78,39,95,97,82,94,51,71,30,Kinesthetic,Technology
446,Rhonda,Hall,rhonda.hall.446@gslingacademy.com,female,Photography,TRUE,9,FALSE,4,Business Owner,56,90,95,59,91,77,88,99,25,79,31,87,Kinesthetic,Arts
447,Matthew,Kidd,matthew.kidd.447@gslingacademy.com,male,Reading Books,FALSE,2,FALSE,2,Business Owner,65,64,52,56,63,82,89,83,80,54,83,97,Kinesthetic,Arts
448,Joseph,Stone,joseph.stone.448@gslingacademy.com,male,Gaming,FALSE,3,FALSE,20,Designer,94,61,77,73,79,65,50,89,63,75,37,51,Visual,Technology
449,Jessica,Mendoza,jessica.mendoza.449@gslingacademy.com,female,Cooking & Baking,FALSE,1,FALSE,21,Software Engineer,90,96,73,89,93,87,82,96,64,76,78,40,Visual,Arts
450,Susan,Brown,susan.brown.450@gslingacademy.com,female,Entrepreneurship & Startups,FALSE,3,FALSE,29,Lawyer,94,82,81,90,76,97,86,86,21,99,56,13,Auditory,Medical
451,Lori,Ryan,lori.ryan.451@gslingacademy.com,female,Dance,FALSE,3,FALSE,13,Unknown,89,87,63,83,64,85,69,72,89,80,68,89,Kinesthetic,Arts
452,Ryan,Cruz,ryan.cruz.452@gslingacademy.com,male,Dance,FALSE,1,FALSE,24,Accountant,89,67,68,93,98,75,44,88,93,54,19,86,Auditory,Medical
453,Nicholas,Johnson,nicholas.johnson.453@gslingacademy.com,male,Public Speaking & Debating,FALSE,7,FALSE,30,Doctor,88,98,87,85,96,77,15,96,88,18,12,49,Visual,Medical
454,Joseph,Schmidt,joseph.schmidt.454@gslingacademy.com,male,Painting & Drawing,FALSE,1,FALSE,25,Stock Investor,76,94,90,75,92,86,16,87,99,29,84,96,Reading/Writing,Arts
455,Daniel,Brown,daniel.brown.455@gslingacademy.com,male,Music,FALSE,1,FALSE,1,Designer,88,78,84,96,92,99,80,97,98,44,63,67,Visual,Arts
456,Harold,Vazquez,harold.vazquez.456@gslingacademy.com,male,Dance,FALSE,4,FALSE,27,Software Engineer,88,76,80,72,100,69,94,71,78,56,29,22,Auditory,Medical
457,Lance,Parsons,lance.parsons.457@gslingacademy.com,male,Traveling,FALSE,0,TRUE,4,Real Estate Developer,54,88,82,89,72,60,26,69,53,71,80,94,Reading/Writing,Medical
458,Jill,Mathews,jill.mathews.458@gslingacademy.com,female,Writing & Blogging,FALSE,2,TRUE,32,Banker,87,87,76,67,68,89,49,77,94,95,20,19,Auditory,Arts
459,Crystal,Nguyen,crystal.nguyen.459@gslingacademy.com,female,Volunteering & Social Work,FALSE,1,FALSE,1,Artist,95,73,79,81,82,69,19,100,56,55,36,46,Auditory,Technology
460,Susan,Perez,susan.perez.460@gslingacademy.com,female,Music,FALSE,2,FALSE,32,Designer,72,72,68,81,95,90,46,99,92,57,100,17,Kinesthetic,Arts
461,Brenda,Powers,brenda.powers.461@gslingacademy.com,female,Sports,FALSE,1,TRUE,4,Real Estate Developer,95,76,70,89,88,87,46,62,55,61,75,74,Reading/Writing,Medical
462,Samuel,Thompson,samuel.thompson.462@gslingacademy.com,male,Coding & Programming,FALSE,4,FALSE,28,Software Engineer,91,97,86,77,83,79,90,62,70,33,58,11,Reading/Writing,Technology
463,Taylor,Nelson,taylor.nelson.463@gslingacademy.com,female,Dance,FALSE,3,TRUE,32,Lawyer,79,81,63,79,96,96,17,89,49,52,93,14,Visual,Arts
464,Kimberly,West,kimberly.west.464@gslingacademy.com,female,Photography,FALSE,1,FALSE,33,Doctor,80,71,94,92,92,60,12,78,84,46,50,65,Kinesthetic,Medical
465,Brad,Lee,brad.lee.465@gslingacademy.com,male,Public Speaking & Debating,TRUE,2,FALSE,4,Business Owner,86,90,88,73,50,93,85,71,83,21,56,94,Reading/Writing,Arts
466,Clayton,Green,clayton.green.466@gslingacademy.com,male,Traveling,FALSE,1,FALSE,31,Software Engineer,88,88,90,67,77,83,65,64,20,35,73,50,Reading/Writing,Medical
467,Richard,Anderson,richard.anderson.467@gslingacademy.com,male,Public Speaking & Debating,FALSE,5,FALSE,17,Construction Engineer,83,95,86,80,64,66,31,97,63,44,69,100,Kinesthetic,Arts
468,Antonio,Flores,antonio.flores.468@gslingacademy.com,male,Cooking & Baking,FALSE,2,FALSE,23,Doctor,84,84,80,97,87,97,22,91,95,39,55,42,Auditory,Medical
469,Margaret,Mullins,margaret.mullins.469@gslingacademy.com,female,Traveling,FALSE,0,FALSE,29,Software Engineer,85,82,81,85,72,90,68,71,57,24,59,41,Visual,Medical
470,Michael,Ball,michael.ball.470@gslingacademy.com,male,Entrepreneurship & Startups,FALSE,2,FALSE,19,Software Engineer,91,85,96,83,74,87,88,74,34,59,20,31,Visual,Medical
471,Allen,Booth,allen.booth.471@gslingacademy.com,male,Photography,TRUE,4,TRUE,26,Banker,83,71,94,60,63,93,87,67,51,62,36,89,Auditory,Technology
472,Stephanie,Clark,stephanie.clark.472@gslingacademy.com,female,Photography,FALSE,7,FALSE,7,Real Estate Developer,97,93,99,98,96,79,22,88,66,16,61,10,Auditory,Medical
473,Sharon,Nelson,sharon.nelson.473@gslingacademy.com,female,Gaming,FALSE,6,FALSE,4,Real Estate Developer,63,68,92,73,66,69,53,87,50,46,96,63,Auditory,Technology
474,Marco,Clark,marco.clark.474@gslingacademy.com,male,Traveling,FALSE,6,FALSE,22,Doctor,92,98,90,82,86,86,23,89,63,91,86,15,Reading/Writing,Medical
475,Victor,Smith,victor.smith.475@gslingacademy.com,male,Entrepreneurship & Startups,TRUE,6,TRUE,4,Business Owner,78,78,64,94,79,92,67,63,85,70,72,70,Visual,Medical
476,Christina,Patterson,christina.patterson.476@gslingacademy.com,female,Traveling,FALSE,3,FALSE,29,Lawyer,78,90,69,100,90,91,90,90,26,57,56,39,Reading/Writing,Medical
477,Jerry,Knight,jerry.knight.477@gslingacademy.com,male,Cooking & Baking,FALSE,8,TRUE,21,Stock Investor,89,60,93,79,72,76,22,85,31,35,37,17,Reading/Writing,Medical
478,Madison,Jacobs,madison.jacobs.478@gslingacademy.com,female,Acting & Theatre,FALSE,3,FALSE,5,Real Estate Developer,53,87,100,84,63,62,91,95,31,43,26,39,Reading/Writing,Arts
479,Douglas,Watson,douglas.watson.479@gslingacademy.com,male,Dance,FALSE,5,FALSE,15,Unknown,63,84,60,85,91,83,65,84,43,45,92,35,Kinesthetic,Arts
480,Manuel,Barrett,manuel.barrett.480@gslingacademy.com,male,Traveling,FALSE,3,TRUE,10,Unknown,100,98,71,100,71,92,44,63,78,12,20,38,Kinesthetic,Technology
481,Janet,Martin,janet.martin.481@gslingacademy.com,female,Music,TRUE,7,FALSE,2,Business Owner,79,54,81,87,67,74,58,85,81,78,49,92,Reading/Writing,Arts
482,Teresa,Flores,teresa.flores.482@gslingacademy.com,female,Painting & Drawing,FALSE,4,TRUE,0,Real Estate Developer,93,77,71,62,94,69,94,72,25,88,59,50,Kinesthetic,Medical
483,Anthony,Mullins,anthony.mullins.483@gslingacademy.com,male,Music,FALSE,5,TRUE,3,Artist,97,88,67,72,83,87,35,62,87,58,55,10,Visual,Technology
484,Julie,Zamora,julie.zamora.484@gslingacademy.com,female,Coding & Programming,FALSE,6,TRUE,1,Unknown,76,82,93,98,98,60,21,65,45,66,81,83,Reading/Writing,Medical
